,Round.No,Institute,Academic.Program.Name,,Category,Opening.Rank,Closing.Rank
141,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,SC PwD,8,8
142,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,93,139
143,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,231,231
144,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,1,59
145,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,6,173
146,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,1,1
147,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,27,158
148,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,9,37
149,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),1,1
150,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),14,14
151,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,44,84
152,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,1,14
153,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC PwD,2,2
154,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,1,9
155,7,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,102,102
156,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,General,780,2088
157,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,General,3145,3757
158,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,OBC-NCL,2332,2340
159,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,OBC-NCL,702,1262
160,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,SC,483,1036
161,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,SC,1178,1178
162,7,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",,ST,531,617
163,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,43,265
164,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,394,730
165,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,100,200
166,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,50,177
167,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),9,9
168,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,66,66
169,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,17,76
170,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC PwD,5,5
171,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,111,111
172,7,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,14,45
173,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,275,556
174,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,1349,1590
175,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,619,619
176,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,239,401
177,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL(PwD),18,18
178,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,170,170
179,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,201,252
180,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,105,162
181,7,Indian Institute of Technology Bombay,"Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,284,446
